矩阵规模*稀疏度,平凡算法时长,SSE时长,AVX平均时长,静态线程分配时长,动态线程分配时长,静态线程+sse时长,静态线程+avx时长
125584,4.44419,1.89405,1.11402,1.10503,0.0002758,0.651381,0.329876
126241,4.37962,1.91963,1.11772,1.10334,0.000252,0.629198,0.351287
126022,4.37387,1.94643,1.13141,1.12603,0.0003038,0.624504,0.336771
125639,4.36433,1.92941,1.21461,1.17765,0.0003133,0.642369,0.357115
126344,4.56192,1.93692,1.14378,1.17719,0.0003737,0.730404,0.35817
125726,4.55703,1.96721,1.20608,1.20391,0.0003156,0.627768,0.395125
126766,4.67596,2.06327,1.161,1.16547,0.0002208,0.689881,0.343634
125703,4.55132,1.93257,1.10047,1.15397,0.0002342,0.614147,0.333854
126478,4.44293,1.93334,1.11559,1.11383,0.0004782,0.610954,0.352393
126201,4.40212,1.92045,1.12092,1.10686,0.0004372,0.642391,0.336431
126003,4.50761,1.93034,1.13579,1.10726,0.0003888,0.617868,0.336348
125850,4.41086,1.91751,1.11649,1.09571,0.0003071,0.631489,0.345264
126225,4.3695,1.91285,1.12378,1.11458,0.0002778,0.628623,0.341641
126590,4.4029,1.91485,1.12697,1.11958,0.000412,0.63392,0.345845
126044,4.39337,1.91878,1.11851,1.11073,0.0002874,0.620416,0.348314
126432,4.40744,1.92004,1.12999,1.132,0.0004111,0.632688,0.358205
126445,4.37881,1.93229,1.16434,1.15144,0.0003915,0.636703,0.342654
125665,4.36908,1.90345,1.11061,1.07745,0.0003665,0.610682,0.336486
125960,4.49577,1.93216,1.15549,1.25115,0.0005964,0.677761,0.361423
125830,4.85918,2.04188,1.22604,1.43352,0.000581,0.778789,0.41407
126419,4.81806,2.10799,1.25327,1.44558,0.0002611,0.776312,0.405181
126043,4.79966,2.10816,1.25877,1.41587,0.000263,0.808162,0.418686
